warm out;cold out;warm in;cold in
29906829759.6;34544581.2;128320120.8;2530399284.0
30182746917.6;34.276.708.800.000.000;118951768.8;15617852290.8
28698887898.0;32.011.142.400.000.000;80196055.2;16116637662.0
22503508081.2;53577237.6;6.166.719.360.000.000;17861590116.0
23806074826.8;49690062.0;30317331.6;20477982297.6
28954630263.6;11.440.800.000.000.000;39398965.2;19409220540.0
31.273.215.602.399.900;20998.8;46770512.4;2671477423.2
33572422713.6;13.233.232.799.999.900;164898673.2;1860400256.4
28727051216.4;31837132.8;214975184.4;11324274922.8
23665856756.4;46138388.4;174851524.8;11.356.271.143.199.900
22854223551.6;42.993.259.199.999.900;78565471.2;12.901.468.795.199.900
22.771.301.774.399.900;59652885.6;270819820.8;10892438438.4
16766100471.6;0.0;179454600.0;12869642772.0
22367725542.0;8305.2;128526861.6;1087854674.4
24251596581.6;11.518.658.280.000.000;226763784.0;1847597806.8
18693686599.2;171005572.8;215476272.0;13641614409.6
17848542844.8;185605642.8;89991925.2;16293046676.4
14489301787.2;157130020.8;66872923.2;18317449976.4
14924738325.6;171445190.4;32.897.325.599.999.900;19867171618.8
13551811380.0;0.0;2754849.6;23201404293.6
21600533782.8;3830.4;21612564.0;4924096628.4
19461877138.8;194923882.8;25.835.821.200.000.000;4780746561.6
14352162555.6;25.737.142.320.000.000;64789858.8;23407122999.6
11.881.651.597.199.900;322542828.0;73697767.2;19500460848.0
12768873447.6;313289794.8;37228312.8;20848715722.8
17.619.168.063.600.000;112470253.2;19717657.2;21471250230.0
17521502248.8;18828.0;24265105.2;22.495.534.959.600.000
17951684191.2;19.368.000.000.000.000;48957066.0;4385824776.0
18888669889.2;190023033.6;15.838.909.920.000.000;2878057944.0
13030661030.4;226000605.6;167529589.2;14.840.235.140.400.000
15043627958.4;197610807.6;335434780.8;9622950382.8
19000466712.0;209849166.0;198694846.8;13900024231.2
24218673397.2;8.750.441.160.000.000;127039946.4;14.985.547.714.800.000
25139857528.8;15318.0;182695190.4;13.986.912.805.199.900
30353023227.6;6534.0;10.453.380.839.999.900;2398990456.8
31149774813.6;54838018.8;99316137.6;2583503294.4
25528876318.8;72053496.0;99147747.6;17340985332.0
29846580764.4;53423884.8;37.853.434.800.000.000;21237690762.0
22093902054.0;9.505.900.439.999.990;55355853.6;21330505386.0
23939660800.8;64881680.4;99946807.2;16041238437.6
26206262985.6;17.607.600.000.000.000;110443950.0;17309261581.2
30009681118.8;12452.4;8.451.404.639.999.990;3228700010.4
25412295121.2;65056471.2;54948441.6;5980938883.2
17016381979.2;166381164.0;4.767.555.960.000.000;17105029236.0
15811186262.4;208904590.8;150037016.4;9899126683.2
12746133385.2;281728144.8;411203383.2;8319432330.0
13127192881.2;284060404.8;419168613.6;7.665.475.305.599.990
10639596398.4;0.0;567220248.0;6129045514.8
13505011556.4;0.0;285763384.8;1828927126.8
20135056226.4;262048539.6;314266460.4;1576505455.2
15502871574.0;32.700.677.040.000.000;12.416.820.516.000.000;6452677954.8
12610491336.0;349693988.4;1298714238.0;6758250843.6
9303807686.4;520450131.6;8.340.901.595.999.990;6208183612.8
8126066376.0;487935990.0;418541317.2;11324754666.0
7131614785.2;0.0;8.867.294.244.000.000;4367348438.4
13656235989.6;0.0;315985917.6;1323228826.8
15970949276.4;319553496.0;420736359.6;10.195.944.048.000.000
12574408860.0;339419653.2;1554483207.6;2818664424.0
10639191358.8;341801586.0;1285758288.0;3410338899.6
14457171085.2;221773186.8;1851406106.4;1288372993.2
17246157195.6;171534700.8;2564345505.6;3109796481.6
19729193486.4;20808.0;2181782322.0;1589861826.0
24990999836.4;13982.4;488273727.6;1952407951.2
23583316950.0;13.108.353.480.000.000;447510895.2;1298080738.8
21534525392.4;195150340.8;27.690.711.156.000.000;5.226.307.455.599.990
15.343.395.886.800.000;270647938.8;19.609.568.676.000.000;7965308872.8
14101075065.6;314550082.8;5.773.789.331.999.990;9649004371.2
13043998512.0;326417706.0;476575430.4;11791623758.4
11629525510.8;3524.4;394640654.4;10402508883.6
